ID,Bonus,Age,Gender,Education,Income,Occupation,dssQuestion1,dssQuestion2,dssQuestion3,dssQuestion4,dssQuestion5,dssQuestion6,dssQuestion7,dssQuestion8,dssQuestion9,dssQuestion10,dssQuestion11,msShortQuestion1,msShortQuestion2,msShortQuestion3,msShortQuestion4,msShortQuestion5,msShortQuestion6,Strategy,Feedback,VariableLength,TaskSet,Task1Length,Task2Length,Task3Length,Task4Length,Task5Length,Task6Length,Task1Deadline,Task2Deadline,Task3Deadline,Task4Deadline,Task5Deadline,Task6Deadline,Task1Points,Task2Points,Task3Points,Task4Points,Task5Points,Task6Points,Task1Rank,Task2Rank,Task3Rank,Task4Rank,Task5Rank,Task6Rank,DynamicTasks,EarnedPoints,OptimalPoints,Correlation,CorrelationCondition,Duration_Seconds,DayOfWeek,HourOfDay_Start,Month,Feedback_Sentiment_Score,Feedback_Subjectivity,Strategy_TFIDF_Dummy
1701180000000,0.0,,Female,High school diploma or equivalent,,bhjnkol,4,4,5,5,4,4,4,7,7,4,2,3,5,5,4,4,4,"getting through to the end
",,0,2,5,5,5,5,5,5,21,13,11,29,16,9,199,311,225,219,222,171,2,0,0,1,3,0,,640,1176,-0.05,0.0,4513320.0,1,10,11,0.0,0.0,1
1701290000000,1.0,46.0,Male,Bachelor's degree,230000.0,Principal Network Engineer,6,7,7,7,5,1,1,2,2,1,2,3,5,5,4,6,5,I tried to determine which would expire together and choose the larger reward. I also tried to schedule them out to make sure I was getting the max points.,,0,1,5,5,5,5,5,5,13,25,18,6,11,14,348,67,170,234,330,50,2,4,3,1,0,0,,819,915,-0.58,-0.7,600.0,2,16,11,0.0,0.0,1
1701290000000,1.0,46.0,Male,Bachelor's degree,230000.0,Principal Network Engineer,6,7,7,7,5,1,1,2,2,1,2,3,5,5,4,6,5,I tried to determine which would expire together and choose the larger reward. I also tried to schedule them out to make sure I was getting the max points.,,0,1,5,5,5,5,5,5,13,25,18,6,11,14,348,67,170,234,330,50,2,4,3,1,0,0,,819,915,-0.58,-0.7,660.0,2,16,11,0.0,0.0,1
1701290000000,0.22,46.0,Male,Bachelor's degree,230000.0,Principal Network Engineer,6,7,7,7,5,1,1,2,2,1,2,3,5,5,4,6,5,I tried to determine which would expire together and choose the larger reward. I also tried to schedule them out to make sure I was getting the max points.,,0,1,5,5,5,5,5,5,13,25,18,6,11,14,348,67,170,234,330,50,2,4,3,1,0,0,,819,915,-0.58,-0.7,300.0,2,16,11,0.0,0.0,1
1701290000000,0.84,46.0,Male,Bachelor's degree,230000.0,Principal Network Engineer,6,7,7,7,5,1,1,2,2,1,2,3,5,5,4,6,5,I tried to determine which would expire together and choose the larger reward. I also tried to schedule them out to make sure I was getting the max points.,,0,1,5,5,5,5,5,5,13,25,18,6,11,14,348,67,170,234,330,50,2,4,3,1,0,0,,819,915,-0.58,-0.7,360.0,2,16,11,0.0,0.0,1
1701290000000,0.88,46.0,Male,Bachelor's degree,230000.0,Principal Network Engineer,6,7,7,7,5,1,1,2,2,1,2,3,5,5,4,6,5,I tried to determine which would expire together and choose the larger reward. I also tried to schedule them out to make sure I was getting the max points.,,0,1,5,5,5,5,5,5,13,25,18,6,11,14,348,67,170,234,330,50,2,4,3,1,0,0,,819,915,-0.58,-0.7,2820.0,2,16,11,0.0,0.0,1
1701290000000,0.71,46.0,Male,Bachelor's degree,230000.0,Principal Network Engineer,6,7,7,7,5,1,1,2,2,1,2,3,5,5,4,6,5,I tried to determine which would expire together and choose the larger reward. I also tried to schedule them out to make sure I was getting the max points.,,0,1,5,5,5,5,5,5,13,25,18,6,11,14,348,67,170,234,330,50,2,4,3,1,0,0,,819,915,-0.58,-0.7,540.0,2,16,11,0.0,0.0,1
1701290000000,1.0,46.0,Male,Bachelor's degree,230000.0,Principal Network Engineer,6,7,7,7,5,1,1,2,2,1,2,3,5,5,4,6,5,I tried to determine which would expire together and choose the larger reward. I also tried to schedule them out to make sure I was getting the max points.,,0,1,5,5,5,5,5,5,13,25,18,6,11,14,348,67,170,234,330,50,2,4,3,1,0,0,,819,915,-0.58,-0.7,840.0,2,16,11,0.0,0.0,1
1701290000000,1.0,46.0,Male,Bachelor's degree,230000.0,Principal Network Engineer,6,7,7,7,5,1,1,2,2,1,2,3,5,5,4,6,5,I tried to determine which would expire together and choose the larger reward. I also tried to schedule them out to make sure I was getting the max points.,,0,1,5,5,5,5,5,5,13,25,18,6,11,14,348,67,170,234,330,50,2,4,3,1,0,0,,819,915,-0.58,-0.7,540.0,2,16,11,0.0,0.0,1
1701300000000,0.75,45.0,Male,Non-university diploma/certificate,79000.0,Manufacturing. (IT Manager),6,6,7,7,7,1,2,2,2,1,2,3,4,6,4,4,2,"I went for the highest value task first, the the second, third, etc.",,0,1,5,5,5,5,5,5,11,8,6,7,17,27,356,201,288,212,336,243,1,0,0,0,2,3,,935,1223,0.11,0.0,240.0,2,16,11,0.0,0.0,1
